id,LOCATION,AGE,HEIGHT,WEIGHT,WINGSPAN,X0.10M,X0.30M,X0.40M,X30.40M,TRIPLE.BROAD.JUMP,SINGLE.BROAD.JUMP,ABSOLUTE.6SEC.PEAK.POWER,RELATIVE.6SEC.PEAK.POWER,UB.PUSH,UB.PULL,LB.PUSH,CONCEPT.TOTAL,ARM.LEG.BIKE,NA.,HEIGHT.1,WEIGHT.1,WINGSPAN.1,X0.10M.1,X0.30M.1,X0.40M.1,X30.40M.1,TRIPLE.BROAD.JUMP.1,SINGLE.BROAD.JUMP.1,ABSOLUTE.6SEC.PEAK.POWER.1,RELATIVE.6SEC.PEAK.POWER.1,UB.PUSH.1,UB.PULL.1,LB.PUSH.1,CONCEPT.TOTAL.1,ARM.LEG.BIKE.1,CUMULATIVE..PHYSICAL.TESTS.
16,Quebec,22.5,190.2,96.7,198,1.87,4.52,5.78,1.26,7.97,2.61,1518,15.69803516,495,626,1220,2341,84,#N/A,1.21989647,1.579643549,1.216732487,-1.290662657,-1.165448401,-0.949076348,-0.491237248,-0.51057005,-0.406915886,0.975877798,-0.240065311,1.087957346,0.958912262,2.437190135,1.795748782,2.339489237,0.487105262
17,ATLANTIC,20,183.9,80.3,187.1,1.81,4.34,5.55,1.21,8.34,2.66,1404,17.48443337,354,483,666,1503,77,#N/A,0.414795348,0.230163069,0.002219586,-0.737205257,-0.568494061,-0.481851262,-0.276128125,-0.087040953,-0.211508718,0.529814106,0.468511408,-0.417100639,-0.159507112,-0.460539203,-0.383652452,0.93402883,0.089999114
18,BC,14,168,68.4,176,1.48,3.83,4.93,1.1,8.6,2.8,1201,17.55847953,268,350,495,1113,65,#N/A,-1.617126531,-0.749033134,-1.234577956,2.306810443,1.134548234,0.777625055,0.197111945,0.210574088,0.335631351,-0.264492292,0.497881894,-1.335079268,-1.199715342,-1.354964685,-1.397932263,-1.475331867,-0.277436618
19,BC,18,184.5,67.3,184.5,1.55,3.87,4.94,1.07,8.83,2.87,1338,19.88112927,291,377,703,1371,67,#N/A,0.491471645,-0.839547068,-0.287480739,1.661110143,1.005675219,0.757310921,0.326177419,0.473848932,0.609201386,0.271566706,1.419163341,-1.089573356,-0.98854525,-0.267008544,-0.726947157,-1.073771751,0.169920857
20,Quebec,16.1,182,72.8,192.9,1.73,4.12,5.25,1.13,9.27,2.95,1337,18.36538462,317,452,788,1557,70,#N/A,0.171987073,-0.386977395,0.648474157,0.000737943,0.174008113,0.127572762,0.068046472,0.977505156,0.921852855,0.267653866,0.817941639,-0.812044933,-0.401961662,0.177588918,-0.243213709,-0.471431577,0.241674854
21,BC,16,181.5,73.7,183.5,1.62,3.91,4.96,1.05,8.57,2.74,1241,16.8385346,438,460,628,1526,70,#N/A,0.108090159,-0.312920539,-0.398903941,1.015409843,0.87702204,0.716682653,0.412221068,0.176233891,0.10114275,-0.107978716,0.212314984,0.47952965,-0.339392746,-0.659300421,-0.323835951,-0.471431577,0.0619928
22,BC,16,186,84.9,195.5,1.54,3.85,4.96,1.11,8.32,2.62,1165,13.72202591,407,469,717,1593,66,#N/A,0.683162389,0.608675886,0.938174482,1.753353043,1.081496794,0.716682653,0.154090121,-0.109934417,-0.367834453,-0.405354511,-1.023851444,0.148630377,-0.269002715,-0.193780726,-0.149587881,-1.274551809,-0.36824858
23,ATLANTIC,20.7,175.1,76.4,183.9,1.72,4.07,5.15,1.08,8.65,2.76,1426,18.66492147,468,560,569,1597,72,#N/A,-0.709790346,-0.090749972,-0.35433466,0.092980843,0.350542004,0.330714104,0.283155594,0.26780775,0.179305617,0.615896573,0.936753244,0.799754753,0.442718705,-0.967903365,-0.139185011,-0.06987146,0.265243725
24,BC,13,180,67.9,183,1.54,3.9,4.97,1.07,8.3,2.59,1011,14.88954345,306,398,394,1098,68,#N/A,-0.083600584,-0.790175831,-0.454615542,1.753353043,0.920580303,0.696368519,0.326177419,-0.132827882,-0.485078753,-1.007931778,-0.560754394,-0.929460804,-0.824301845,-1.883251081,-1.436943025,-0.872991693,-0.461429695
25,AB,23,190,91.5,196,1.89,4.09,5.1,1.01,9.35,3.1,1470,16.06557377,605,813,989,2407,77,#N/A,1.194337704,1.151759494,0.993886083,-1.475148457,0.289277952,0.432284775,0.584308366,1.069079014,1.508074358,0.788061507,-0.094280737,2.262116058,2.421460675,1.228931151,1.967396134,0.93402883,0.861701603
26,BC,15,174.5,62.2,179.5,1.54,3.91,4.98,1.07,8.32,2.66,1082,17.39549839,251,305,481,1037,68,#N/A,-0.786466643,-1.259202584,-0.844596749,1.753353043,0.89249852,0.676054385,0.326177419,-0.109934417,-0.211508718,-0.730120181,0.433235255,-1.51654016,-1.551665495,-1.428192502,-1.59558679,-0.872991693,-0.293844652
27,BC,17,172,66.8,180.5,1.59,3.94,4.98,1.04,7.95,2.59,1227,18.36826347,231,374,340,945,65,#N/A,-1.105951215,-0.880689766,-0.733173547,1.292138543,0.796160407,0.676054385,0.455242893,-0.533463514,-0.485078753,-0.162758468,0.819083541,-1.730023562,-1.012008594,-2.165701233,-1.834852796,-1.475331867,-0.469702051
28,AB,17.2,184.5,77,190.5,1.88,4.48,5.71,1.23,6.92,2.32,803,10.42857143,330,474,514,1318,78,#N/A,0.491471645,-0.041378735,0.381058472,-1.382905557,-1.006074032,-0.806877409,-0.362171774,-1.712476946,-1.54027746,-1.821802374,-2.330203607,-0.673280722,-0.229897143,-1.255584076,-0.864785183,1.134808889,-0.915906851
29,ATLANTIC,18.7,184.5,82.1,185.8,1.92,4.56,5.85,1.29,7.12,2.3,1039,12.65529842,348,528,695,1571,73,#N/A,0.491471645,0.37827678,-0.142630577,-1.751877157,-1.278132514,-1.091275287,-0.620302722,-1.483542299,-1.618440327,-0.898372275,-1.44697002,-0.48114566,0.192443041,-0.308853011,-0.206803665,0.130908598,-0.819536535
